Name,Identifier,Weight,Sector,Shares Held
Microsoft Corporation,MSFT,4.256837,Information Technology,85841100
Apple Inc.,AAPL,3.539644,Information Technology,48965524
Amazon.com Inc.,AMZN,3.321625,Consumer Discretionary,4632684
Facebook Inc. Class A,FB,1.940564,Communication Services,26914088
Berkshire Hathaway Inc. Class B,BRK.B,1.657294,Financials,21697908
Johnson & Johnson,JNJ,1.493156,Health Care,29742706
JPMorgan Chase & Co.,JPM,1.48567,Financials,36339690
Alphabet Inc. Class C,GOOG,1.407548,Communication Services,3433223
Alphabet Inc. Class A,GOOGL,1.375127,Communication Services,3354523
Exxon Mobil Corporation,XOM,1.317375,Energy,47398000
Visa Inc. Class A,V,1.261569,Information Technology,19480548
Procter & Gamble Company,PG,1.151588,Consumer Staples,28099044
Bank of America Corp,BAC,1.042077,Financials,99057680
Walt Disney Company,DIS,1.005921,Communication Services,19555766
Mastercard Incorporated Class A,MA,1.00516,Information Technology,10079410
UnitedHealth Group Incorporated,UNH,0.996188,Health Care,10645815
Cisco Systems Inc.,CSCO,0.984541,Information Technology,47953864
AT&T Inc.,T,0.98015,Communication Services,81754370
Chevron Corporation,CVX,0.959041,Energy,21339296
Pfizer Inc.,PFE,0.957774,Health Care,62192904
Home Depot Inc.,HD,0.945273,Consumer Discretionary,12325555
Verizon Communications Inc.,VZ,0.944878,Communication Services,46329268
Intel Corporation,INTC,0.873791,Information Technology,50178250
Merck & Co. Inc.,MRK,0.83708,Health Care,28842078
Coca-Cola Company,KO,0.802002,Consumer Staples,43011324
Comcast Corporation Class A,CMCSA,0.801384,Communication Services,50739200
Wells Fargo & Company,WFC,0.76535,Financials,45312172
PepsiCo Inc.,PEP,0.755945,Consumer Staples,15703517
Boeing Company,BA,0.754165,Industrials,5862955
Netflix Inc.,NFLX,0.665962,Communication Services,4897588
Citigroup Inc.,C,0.664672,Financials,25904668
McDonald's Corporation,MCD,0.651473,Consumer Discretionary,8548576
Walmart Inc.,WMT,0.639619,Consumer Staples,15669878
Abbott Laboratories,ABT,0.607348,Health Care,19762712
Adobe Inc.,ADBE,0.602463,Information Technology,5466237
Oracle Corporation,ORCL,0.584292,Information Technology,27182866
PayPal Holdings Inc,PYPL,0.568984,Information Technology,13161851
Medtronic Plc,MDT,0.538132,Health Care,15018739
Honeywell International Inc.,HON,0.50985,Industrials,8152519
Philip Morris International Inc.,PM,0.507447,Consumer Staples,17428436
International Business Machines Corporation,IBM,0.501795,Information Technology,9915467
Accenture Plc Class A,ACN,0.498398,Information Technology,7145319
salesforce.com inc.,CRM,0.495281,Information Technology,8699049
Costco Wholesale Corporation,COST,0.488162,Consumer Staples,4926634
Union Pacific Corporation,UNP,0.487976,Industrials,7929510
Thermo Fisher Scientific Inc.,TMO,0.475001,Health Care,4485472
NIKE Inc. Class B,NKE,0.445359,Consumer Discretionary,14078062
Linde plc,LIN,0.441849,Materials,6080350
Texas Instruments Incorporated,TXN,0.439547,Information Technology,10510048
Broadcom Inc.,AVGO,0.438646,Information Technology,4434603
Amgen Inc.,AMGN,0.435777,Health Care,6832637
Starbucks Corporation,SBUX,0.433025,Consumer Discretionary,13568314
United Technologies Corporation,UTX,0.427618,Industrials,9086631
AbbVie Inc.,ABBV,0.422723,Health Care,16560593
NVIDIA Corporation,NVDA,0.406462,Information Technology,6822196
NextEra Energy Inc.,NEE,0.404451,Utilities,5364940
3M Company,MMM,0.391112,Industrials,6457374
Eli Lilly and Company,LLY,0.38087,Health Care,9679194
American Tower Corporation,AMT,0.371262,Real Estate,4951518
Altria Group Inc,MO,0.369926,Consumer Staples,20958710
Lockheed Martin Corporation,LMT,0.3633,Industrials,2753537
Danaher Corporation,DHR,0.360883,Health Care,7057588
QUALCOMM Incorporated,QCOM,0.359676,Information Technology,13618512
General Electric Company,GE,0.353891,Industrials,97692790
American Express Company,AXP,0.351367,Financials,7704520
Gilead Sciences Inc.,GILD,0.338673,Health Care,14280135
Lowe's Companies Inc.,LOW,0.329559,Consumer Discretionary,8770530
Booking Holdings Inc.,BKNG,0.325683,Consumer Discretionary,484987
U.S. Bancorp,USB,0.321197,Financials,16765107
Mondelez International Inc. Class A,MDLZ,0.316626,Consumer Staples,16175565
Anthem Inc.,ANTM,0.313691,Health Care,2881005
Caterpillar Inc.,CAT,0.307783,Industrials,6412309
CVS Health Corporation,CVS,0.302274,Health Care,14552663
CME Group Inc. Class A,CME,0.296585,Financials,4010167
Bristol-Myers Squibb Company,BMY,0.292363,Health Care,18323718
Intuit Inc.,INTU,0.289531,Information Technology,2904364
United Parcel Service Inc. Class B,UPS,0.28931,Industrials,7814145
Automatic Data Processing Inc.,ADP,0.288607,Information Technology,4875458
Goldman Sachs Group Inc.,GS,0.288584,Financials,3810788
Charter Communications Inc. Class A,CHTR,0.284138,Communication Services,1932968
ConocoPhillips,COP,0.278384,Energy,12641421
Becton Dickinson and Company,BDX,0.277356,Health Care,3021715
Chubb Limited,CB,0.273478,Financials,5129362
TJX Companies Inc,TJX,0.271901,Consumer Discretionary,13584816
Cigna Corporation,CI,0.266122,Health Care,4235890
Stryker Corporation,SYK,0.262082,Health Care,3469194
Celgene Corporation,CELG,0.261593,Health Care,7900429
Duke Energy Corporation,DUK,0.261398,Utilities,8155799
PNC Financial Services Group Inc.,PNC,0.25619,Financials,5054438
Colgate-Palmolive Company,CL,0.25422,Consumer Staples,9602157
Dominion Energy Inc,D,0.250912,Utilities,8988208
Intuitive Surgical Inc.,ISRG,0.248356,Health Care,1293166
Boston Scientific Corporation,BSX,0.241137,Health Care,15578426
CSX Corporation,CSX,0.238934,Industrials,8632233
S&P Global Inc.,SPGI,0.236516,Financials,2768385
Southern Company,SO,0.235998,Utilities,11659557
BlackRock Inc.,BLK,0.229224,Financials,1332598
Schlumberger NV,SLB,0.226756,Energy,15446757
Morgan Stanley,MS,0.226717,Financials,14321989
Crown Castle International Corp,CCI,0.223959,Real Estate,4657235
Northrop Grumman Corporation,NOC,0.221458,Industrials,1902159
Zoetis Inc. Class A,ZTS,0.218627,Health Care,5335958
Norfolk Southern Corporation,NSC,0.215163,Industrials,2980147
Illumina Inc.,ILMN,0.213469,Health Care,1638264
EOG Resources Inc.,EOG,0.211591,Energy,6500765
Marsh & McLennan Companies Inc.,MMC,0.20917,Financials,5728310
DuPont de Nemours Inc.,DD,0.208557,Materials,8375006
Intercontinental Exchange Inc.,ICE,0.207736,Financials,6320393
Allergan plc,AGN,0.205276,Health Care,3451853
Prologis Inc.,PLD,0.205134,Real Estate,7066262
Deere & Company,DE,0.204559,Industrials,3540265
General Motors Company,GM,0.203473,Consumer Discretionary,14776823
Ecolab Inc.,ECL,0.203168,Materials,2841364
Air Products and Chemicals Inc.,APD,0.201242,Materials,2465954
Simon Property Group Inc.,SPG,0.20054,Real Estate,3443176
Raytheon Company,RTN,0.200217,Industrials,3137839
General Dynamics Corporation,GD,0.200111,Industrials,3041885
Progressive Corporation,PGR,0.195291,Financials,6507904
Micron Technology Inc.,MU,0.194838,Information Technology,12506272
American International Group Inc.,AIG,0.194203,Financials,9769325
Exelon Corporation,EXC,0.193073,Utilities,10877043
MetLife Inc.,MET,0.192679,Financials,10665362
Charles Schwab Corporation,SCHW,0.192135,Financials,13253334
Aon plc,AON,0.189823,Financials,2694153
Kimberly-Clark Corporation,KMB,0.189623,Consumer Staples,3851098
Waste Management Inc.,WM,0.183873,Industrials,4376735
Biogen Inc.,BIIB,0.181754,Health Care,2190228
Vertex Pharmaceuticals Incorporated,VRTX,0.180958,Health Care,2869353
American Electric Power Company Inc.,AEP,0.179125,Utilities,5497861
Target Corporation,TGT,0.17782,Consumer Discretionary,5739316
Illinois Tool Works Inc.,ITW,0.176991,Industrials,3363269
Equinix Inc.,EQIX,0.176738,Real Estate,941547
Walgreens Boots Alliance Inc,WBA,0.173501,Consumer Staples,8705930
L3Harris Technologies Inc,LHX,0.171789,Industrials,2465655
Applied Materials Inc.,AMAT,0.171553,Information Technology,10573918
Capital One Financial Corporation,COF,0.170983,Financials,5260675
Analog Devices Inc.,ADI,0.169078,Information Technology,4142201
